state_name,iso_code,mmsi_mid_prefixes,risk_category,registry_status,issue_summary,source_primary,source_url,last_verified,active
Saint Kitts and Nevis,KN,341,B,open_registry_exploited,"Weicher Prüfansatz: offenes Register, in Risiko- und Flag-Hopping-Kontexten beobachtet; kein automatischer False-Flag-Beweis.",Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Belize,BZ,312,C,open_registry_broad,Breiter Prüfansatz: offenes Register; nur in Verbindung mit weiteren Indikatoren stärker gewichten.,Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Barbados,BB,314,C,open_registry_broad,Breiter Prüfansatz: offenes/zugängliches Register; nur in Verbindung mit weiteren Indikatoren stärker gewichten.,Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Panama,PA,351;352;353;354;355;356;357;370;371;372;373,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit Schattenflotte/Flag-Hopping/Portcall aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Liberia,LR,636,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit weiteren Indikatoren aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Marshall Islands,MH,538,C,open_registry_broad,"Breiter Prüfansatz: großes offenes Register; für sich allein niedriger Signalwert, mit weiteren Indikatoren aber relevant.",Analyst heuristic,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Guyana,GY,750,B,open_registry_exploited,Weicher Prüfansatz: kleine Flagge/Registry im Flag-Hopping-/Risikokontext; Einzelfallprüfung erforderlich.,Analyst heuristic / sanctions reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Tanzania,TZ,677,B,open_registry_exploited,Weicher Prüfansatz: Flagge in Risikokontexten beobachtet; kein automatischer False-Flag-Beweis.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Togo,TG,671,B,open_registry_exploited,Weicher Prüfansatz: Flagge in Risikokontexten beobachtet; kein automatischer False-Flag-Beweis.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
Sao Tome and Principe,ST,668,B,open_registry_exploited,Weicher Prüfansatz: kleine Flagge/Registry im Flag-Hopping-/Risikokontext; Einzelfallprüfung erforderlich.,Analyst heuristic / reporting,https://www.imo.org/en/OurWork/Legal/Pages/Fraudulent-registration-and-fraudulent-registries-of-ships.aspx,2026-06-17,true
